,Female 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:34.97,,,
,2,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:34.98,,,
,3,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:35.61,,,
,4,,01/02/2004,,22nd Harrogate Open Meet                          ,,,,,Harrogate                                     ,,,0,,00:36.47,,,
,5,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:36.99,,,
,6,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:37.16,,,
,Female 100 Butterfly,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:21.60,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:23.17,,,
,3,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,01:24.89,,,
,4,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:32.04,,,
,Female 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:36.21,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:36.71,,,
,3,,31/01/2004,,22nd Harrogate Open Meet                          ,,,,,Harrogate                                     ,,,0,,00:37.20,,,
,4,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:37.39,,,
,5,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:37.67,,,
,6,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:39.84,,,
,Female 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:17.86,,,
,2,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:18.55,,,
,3,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,01:20.00,,,
,4,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:20.25,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:47:17,,,,,,,,,,,,,,,Page,4,/,224
,,,,,,,,,Female Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Sarah Ashforth                                    ,,,,,,26/10/1990,,Sheffield C,,,38579,,,,,,,
,Female 200 Backstroke,,,,,,,,,,,,,,,,,
,1,,31/01/2004,,22nd Harrogate Open Meet                          ,,,,,Harrogate                                     ,,,0,,02:52.58,,,
,Female 100 Individual Medley,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:21.00,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:21.53,,,
,3,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:24.57,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:47:17,,,,,,,,,,,,,,,Page,5,/,224
,,,,,,,,,Female Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
